model,strategy,algorithm,run,instance,cities,status,ran,length,optimum,gap_pct,runtime_s,reported_length,refinement_rounds,input_tokens,output_tokens,generation_error
claude,zero_shot,simulated_annealing,2,berlin52,52,ok,True,8060.0,7542,6.87,0.309,8060.0,1.0,328.0,1685.0,
claude,zero_shot,simulated_annealing,2,ch130,130,ok,True,6742.0,6110,10.34,1.207,6742.0,1.0,328.0,1685.0,
claude,zero_shot,simulated_annealing,2,d198,198,ok,True,16376.0,15780,3.78,1.663,16376.0,1.0,328.0,1685.0,
claude,zero_shot,genetic_algorithm,2,eil51,51,ok,True,465.0,426,9.15,7.808,465.0,1.0,327.0,1261.0,
claude,zero_shot,genetic_algorithm,2,berlin52,52,ok,True,8369.0,7542,10.97,7.082,8369.0,1.0,327.0,1261.0,
claude,zero_shot,genetic_algorithm,2,ch130,130,ok,True,6955.0,6110,13.83,10.467,6955.0,1.0,327.0,1261.0,
claude,zero_shot,genetic_algorithm,2,d198,198,ok,True,16960.0,15780,7.48,12.856,16960.0,1.0,327.0,1261.0,
claude,few_shot,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.111,511.0,1.0,542.0,293.0,
claude,few_shot,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.089,8980.0,1.0,542.0,293.0,
claude,few_shot,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.089,7579.0,1.0,542.0,293.0,
claude,few_shot,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.092,18240.0,1.0,542.0,293.0,
claude,few_shot,simulated_annealing,2,eil51,51,ok,True,441.0,426,3.52,0.164,441.0,1.0,529.0,1267.0,
claude,few_shot,simulated_annealing,2,berlin52,52,ok,True,8451.0,7542,12.05,0.132,8451.0,1.0,529.0,1267.0,
claude,few_shot,simulated_annealing,2,ch130,130,ok,True,6615.0,6110,8.27,0.139,6615.0,1.0,529.0,1267.0,
claude,few_shot,simulated_annealing,2,d198,198,ok,True,16376.0,15780,3.78,0.157,16376.0,1.0,529.0,1267.0,
claude,few_shot,genetic_algorithm,2,eil51,51,ok,True,465.0,426,9.15,2.804,465.0,1.0,528.0,1268.0,
claude,few_shot,genetic_algorithm,2,berlin52,52,ok,True,7596.0,7542,0.72,2.772,7596.0,1.0,528.0,1268.0,
claude,few_shot,genetic_algorithm,2,ch130,130,ok,True,7114.0,6110,16.43,3.961,7114.0,1.0,528.0,1268.0,
claude,few_shot,genetic_algorithm,2,d198,198,ok,True,17300.0,15780,9.63,4.924,17300.0,1.0,528.0,1268.0,
claude,chain_of_thought,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.133,511.0,1.0,432.0,530.0,
claude,chain_of_thought,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.089,8980.0,1.0,432.0,530.0,
claude,chain_of_thought,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.091,7579.0,1.0,432.0,530.0,
claude,chain_of_thought,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.094,18240.0,1.0,432.0,530.0,
claude,chain_of_thought,simulated_annealing,2,eil51,51,ok,True,433.0,426,1.64,0.827,433.0,1.0,419.0,1762.0,
claude,chain_of_thought,simulated_annealing,2,berlin52,52,ok,True,7542.0,7542,0.0,0.762,7542.0,1.0,419.0,1762.0,
claude,chain_of_thought,simulated_annealing,2,ch130,130,ok,True,7579.0,6110,24.04,0.818,7579.0,1.0,419.0,1762.0,
claude,chain_of_thought,simulated_annealing,2,d198,198,ok,True,18240.0,15780,15.59,0.824,18240.0,1.0,419.0,1762.0,
claude,chain_of_thought,genetic_algorithm,2,eil51,51,ok,True,481.0,426,12.91,3.516,481.0,1.0,418.0,1713.0,
claude,chain_of_thought,genetic_algorithm,2,berlin52,52,ok,True,8731.0,7542,15.77,3.48,8731.0,1.0,418.0,1713.0,
claude,chain_of_thought,genetic_algorithm,2,ch130,130,ok,True,7429.0,6110,21.59,6.266,7429.0,1.0,418.0,1713.0,
claude,chain_of_thought,genetic_algorithm,2,d198,198,ok,True,18367.0,15780,16.39,8.979,18367.0,1.0,418.0,1713.0,
claude,iterative_refinement,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.086,511.0,1.0,341.0,252.0,
claude,iterative_refinement,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.086,8980.0,1.0,341.0,252.0,
claude,iterative_refinement,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.087,7579.0,1.0,341.0,252.0,
claude,iterative_refinement,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.096,18240.0,1.0,341.0,252.0,
claude,iterative_refinement,simulated_annealing,2,eil51,51,ok,True,441.0,426,3.52,0.14,441.0,1.0,328.0,1028.0,
claude,iterative_refinement,simulated_annealing,2,berlin52,52,ok,True,8451.0,7542,12.05,0.133,8451.0,1.0,328.0,1028.0,
claude,iterative_refinement,simulated_annealing,2,ch130,130,ok,True,7562.0,6110,23.76,0.122,7562.0,1.0,328.0,1028.0,
claude,iterative_refinement,simulated_annealing,2,d198,198,ok,True,18240.0,15780,15.59,0.117,18240.0,1.0,328.0,1028.0,
claude,iterative_refinement,genetic_algorithm,2,eil51,51,ok,True,466.0,426,9.39,1.644,466.0,1.0,327.0,1283.0,
claude,iterative_refinement,genetic_algorithm,2,berlin52,52,ok,True,8506.0,7542,12.78,1.391,8506.0,1.0,327.0,1283.0,
claude,iterative_refinement,genetic_algorithm,2,ch130,130,ok,True,6918.0,6110,13.22,5.951,6918.0,1.0,327.0,1283.0,
claude,iterative_refinement,genetic_algorithm,2,d198,198,ok,True,18240.0,15780,15.59,2.072,18240.0,1.0,327.0,1283.0,
gpt,zero_shot,greedy,3,eil51,51,ok,True,511.0,426,19.95,0.106,511.0,1.0,224.0,302.0,
gpt,zero_shot,greedy,3,berlin52,52,ok,True,8980.0,7542,19.07,0.086,8980.0,1.0,224.0,302.0,
gpt,zero_shot,greedy,3,ch130,130,ok,True,7579.0,6110,24.04,0.124,7579.0,1.0,224.0,302.0,
gpt,zero_shot,greedy,3,d198,198,ok,True,18240.0,15780,15.59,0.092,18240.0,1.0,224.0,302.0,
gpt,zero_shot,simulated_annealing,3,eil51,51,ok,True,434.0,426,1.88,0.485,434.0,1.0,214.0,2560.0,
gpt,zero_shot,simulated_annealing,3,berlin52,52,ok,True,7772.0,7542,3.05,0.431,7772.0,1.0,214.0,2560.0,
gpt,zero_shot,simulated_annealing,3,ch130,130,ok,True,6502.0,6110,6.42,0.974,6502.0,1.0,214.0,2560.0,
gpt,zero_shot,simulated_annealing,3,d198,198,ok,True,16238.0,15780,2.9,1.382,16238.0,1.0,214.0,2560.0,
gpt,zero_shot,genetic_algorithm,3,eil51,51,ok,True,436.0,426,2.35,2.829,436.0,1.0,212.0,5246.0,
gpt,zero_shot,genetic_algorithm,3,berlin52,52,ok,True,8166.0,7542,8.27,2.8,8166.0,1.0,212.0,5246.0,
gpt,zero_shot,genetic_algorithm,3,ch130,130,ok,True,6470.0,6110,5.89,2.311,6470.0,1.0,212.0,5246.0,
gpt,zero_shot,genetic_algorithm,3,d198,198,ok,True,17268.0,15780,9.43,2.777,17268.0,1.0,212.0,5246.0,
gpt,few_shot,greedy,3,eil51,51,ok,True,511.0,426,19.95,0.11,511.0,1.0,365.0,287.0,
gpt,few_shot,greedy,3,berlin52,52,ok,True,8980.0,7542,19.07,0.097,8980.0,1.0,365.0,287.0,
gpt,few_shot,greedy,3,ch130,130,ok,True,7579.0,6110,24.04,0.095,7579.0,1.0,365.0,287.0,
gpt,few_shot,greedy,3,d198,198,ok,True,18240.0,15780,15.59,0.085,18240.0,1.0,365.0,287.0,
gpt,few_shot,simulated_annealing,3,eil51,51,ok,True,433.0,426,1.64,1.598,433.0,1.0,355.0,3810.0,
gpt,few_shot,simulated_annealing,3,berlin52,52,ok,True,7814.0,7542,3.61,0.357,7814.0,1.0,355.0,3810.0,
gpt,few_shot,simulated_annealing,3,ch130,130,ok,True,6328.0,6110,3.57,0.722,6328.0,1.0,355.0,3810.0,
gpt,few_shot,simulated_annealing,3,d198,198,ok,True,16536.0,15780,4.79,1.201,16536.0,1.0,355.0,3810.0,
gpt,few_shot,genetic_algorithm,3,eil51,51,ok,True,434.0,426,1.88,1.977,434.0,1.0,353.0,3771.0,
